Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C44, C51",C_0402,3,4u7,
"C10, C33",C_0402,2,10n,
"C11, C12, C14, C15, C2, C26, C27, C3, C32, C34, C35, C37, C39, C4, C41, C42, C43, C5, C9",C_0402,19,100n,
"C13, C36",C_0402,2,2u2,
"C16, C17, C18, C20",C_1206,4,4u7,
"C19, C21, C23, C24",C_0603,4,100n,
"C22, C25, C40, C47, C48, C50, C6",C_0402,7,1u,
"C28, C29, C31, C45",C_0805,4,22u,
"C30, C46",C_0805,2,100n,
C38,C_0402,1,560p,
C49,C_1206,1,10u,
"C7, C8",C_0402,2,18p,
D1,LED_0402,1,Blue,
"D10, D11, D4",PESD5V0S1BL315,3,"PESD5V0X1BL,315",
D2,SMF_DO-219AB,1,SMF28A,
"D3, D5",SDM2A40CSP7B,2,SDM2A40CSP,
"D6, D7, D8, D9",LED_0402,4,Green,
FB1,Ferrite_0603_1608Metric,1,MPZ1608S601ATA00,
J2,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,JST-SH 1x08,
J3,JST-SH_SM06BSRSSTBLFSN,1,Digital_VTX_Connector,
J4,SAMESKY_UJ20-C-H-G-SMT-5-P16-TR,1,UJ20-C-H-G-SMT-5-P16-TR,
JP2,SolderJumper-3_Open_TrianglePad1.0x1.5mm,1,~,
"L1, L2",IND_SPM4020T-3R3M-LR,2,3u3,
Q1,NX138AKMYL,1,NX138AKMYL,
"R1, R19, R23, R25, R37, R39, R41",R_0402,7,10k,
"R20, R21",R_0402,2,4k7,
"R22, R28, R32, R35, R38, R8",R_0402,6,100k,
R24,R_0402,1,24k9,
"R26, R27",R_0402,2,5.1k,
R29,R_0402,1,12k4,
"R30, R33, R34",R_0402,3,470R,
R31,R_0402,1,2k2,
R40,R_0402,1,75R,
"R42, R9",R_0402,2,100R,
SW1,B3U-1000P,1,BOOT,
TP7,TestPoint-1mm,1,OSD-SWCLK,
TP8,TestPoint-1mm,1,OSD-SWDIO,
U1,STM32G473RETx-LQFP-64_10x10mm_P0.5mm,1,STM32G473RET6,
"U2, U3",LMR33630CRNXR,2,LMR33630CRNXR,
U4,NCP187x-WDFNW6_2x2_0.65P,1,NCP187AMT330TAG,
U5,TCR3RMx-DFN4F_TOS,1,TCR3RM33A,
U6,PQFN50P300X250X97-14N,1,ICM-42688-P,
U7,XDCR_DPS368XTSA1,1,DPS368XTSA1,
U8,SON127P500X600X80-9N,1,W25Q128JVPIQ,
U9,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32G431KBU6,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,
