Designator,Mid X,Mid Y,Rotation,Layer
C1,9.429727,9.05843,180.0,top
C10,21.924116,18.988314,90.0,top
C11,7.612729,12.349897,90.0,top
C12,21.946428,17.154443,270.0,top
C13,22.858636,17.14981,270.0,top
C14,13.410396,28.135956,180.0,top
C15,12.269874,24.244732,180.0,top
C16,24.544123,28.625866,90.0,bottom
C17,27.396573,17.992953,180.0,bottom
C18,4.526321,3.154744,0.0,bottom
C19,26.675269,25.379242,180.0,bottom
C2,7.60983,10.533088,270.0,top
C20,3.180676,12.271588,0.0,bottom
C21,28.003252,20.112937,180.0,bottom
C22,23.610806,22.406473,90.0,bottom
C23,2.697665,10.365214,0.0,bottom
C24,3.8308,4.952853,0.0,bottom
C25,6.924996,8.287335,270.0,bottom
C26,25.249996,21.163512,180.0,bottom
C27,5.224996,9.321913,0.0,bottom
C28,31.405085,19.84457,0.0,bottom
C29,30.973806,26.509679,0.0,bottom
C3,9.435363,10.007199,180.0,top
C30,31.405085,17.843925,0.0,bottom
C31,-1.043964,10.686849,180.0,bottom
C32,21.802753,8.79409,0.0,top
C33,24.802896,11.282055,180.0,top
C34,20.067011,6.866732,90.0,top
C35,22.966158,11.282055,0.0,top
C36,22.966158,10.353676,0.0,top
C37,11.028447,24.403078,270.0,bottom
C38,12.536765,18.911768,0.0,bottom
C39,11.742864,14.59432,0.0,bottom
C4,18.589466,8.817143,180.0,top
C40,16.765298,19.037121,0.0,bottom
C41,16.765501,18.123341,0.0,bottom
C42,19.430653,16.724377,90.0,bottom
C43,12.220346,12.228149,270.0,bottom
C44,11.29727,12.226321,270.0,bottom
C45,-0.917617,12.536502,180.0,bottom
C46,-0.94448,4.012674,180.0,bottom
C47,28.375831,8.687655,0.0,bottom
C48,27.06404,14.118759,0.0,top
C49,25.145326,6.07967,270.0,bottom
C5,22.424701,20.333299,0.0,top
C50,27.010451,11.237402,0.0,top
C51,5.969485,18.727237,180.0,bottom
C6,22.871922,18.976955,90.0,top
C7,13.494996,8.517543,0.0,top
C8,11.698041,8.510073,180.0,top
C9,11.2964,23.125861,0.0,top
D1,-1.532479,9.225,0.0,top
D10,5.699156,21.037118,270.0,bottom
D11,5.699156,22.67334,90.0,bottom
D2,7.482496,29.955,0.0,bottom
D3,5.928637,15.61117,90.0,bottom
D4,5.869524,17.602174,180.0,bottom
D5,30.541219,15.271994,90.0,bottom
D6,-1.531838,8.06875,0.0,top
D7,-1.515004,4.6,0.0,top
D8,-1.531838,6.9125,0.0,top
D9,-1.531838,5.75625,0.0,top
FB1,19.397267,18.636729,0.0,bottom
J2,15.406098,30.725,180.0,bottom
J3,15.859996,-0.499996,0.0,bottom
J4,0.474996,21.35,90.0,bottom
L1,30.814517,23.163058,180.0,bottom
L2,-0.339525,7.346685,0.0,bottom
P1,32.69,16.33,270.0,top
P10,18.0,-2.177833,180.0,top
P11,5.266875,32.7,0.0,top
P12,7.366875,32.7,0.0,top
P13,9.466875,32.7,0.0,top
P14,11.566875,32.7,0.0,top
P15,13.666875,32.7,0.0,top
P16,15.766875,32.7,0.0,top
P17,17.866875,32.7,0.0,top
P18,19.966875,32.7,0.0,top
P19,26.666875,32.7,0.0,top
P2,32.69,14.23,270.0,top
P20,24.566875,32.7,0.0,top
P21,22.466875,32.7,180.0,top
P22,-2.19234,20.405465,270.0,top
P23,-2.19234,22.505465,90.0,top
P24,-2.19234,26.705465,270.0,top
P25,-2.19234,24.605465,270.0,top
P26,32.69,23.004205,90.0,top
P27,32.69,20.904205,90.0,top
P28,32.69,18.804205,90.0,top
P29,26.666875,30.4,180.0,top
P3,32.69,5.83,270.0,top
P30,22.466875,30.4,180.0,top
P31,24.566875,30.4,180.0,top
P32,11.3,-2.177833,180.0,top
P33,9.2,-2.177833,0.0,top
P34,5.0,-2.177833,180.0,top
P35,7.1,-2.177833,180.0,top
P36,13.4,-2.177833,0.0,top
P37,15.5,-2.177833,0.0,top
P38,30.39,23.00915,90.0,top
P39,30.39,18.804205,90.0,top
P4,32.69,7.93,270.0,top
P40,-2.19234,18.332968,90.0,top
P41,-2.19234,14.132968,90.0,top
P42,30.39,20.904205,90.0,top
P43,-2.19234,16.232968,90.0,top
P5,32.69,10.03,270.0,top
P6,32.69,12.13,270.0,top
P7,24.3,-2.177833,180.0,top
P8,22.2,-2.177833,180.0,top
P9,20.1,-2.177833,180.0,top
Q1,20.463924,28.217758,90.0,top
R1,6.581423,11.407899,270.0,top
R19,5.000239,23.083205,90.0,top
R20,24.031245,6.301264,270.0,top
R21,22.047106,4.589445,0.0,top
R22,12.269874,26.300089,180.0,top
R23,12.269874,25.265454,0.0,top
R24,23.610806,24.244058,270.0,bottom
R25,20.749996,26.825,0.0,top
R26,5.976921,19.711354,0.0,bottom
R27,5.976921,23.967228,0.0,bottom
R28,7.370405,5.079984,0.0,bottom
R29,6.924996,6.454707,90.0,bottom
R30,0.633162,8.06875,180.0,top
R31,0.649996,4.6,180.0,top
R32,30.131982,7.41543,270.0,bottom
R33,0.636408,6.9125,180.0,top
R34,0.636408,5.75625,180.0,top
R35,7.13631,5.9862,90.0,top
R37,24.802896,10.353676,180.0,top
R38,18.924916,6.877466,90.0,top
R39,20.403291,21.723154,90.0,bottom
R40,15.046174,19.941408,180.0,bottom
R41,11.742864,13.60932,180.0,bottom
R42,14.347115,18.92,180.0,bottom
R8,24.060806,25.591995,0.0,bottom
R9,0.649996,9.225,180.0,top
SW1,3.018947,24.282566,270.0,top
TP1,9.642717,26.590898,0.0,top
TP3,7.250422,26.517862,180.0,top
TP4,5.543138,18.351974,270.0,top
TP5,5.643241,20.816483,270.0,top
TP7,21.028772,11.069233,270.0,bottom
TP8,20.068628,13.225028,270.0,bottom
U1,14.784996,15.960001,90.0,top
U2,26.049996,23.163058,90.0,bottom
U3,4.424996,7.346685,270.0,bottom
U4,27.961873,6.9,0.0,bottom
U5,27.037496,12.6875,90.0,top
U6,23.712496,13.25,0.0,top
U7,21.807496,6.835,0.0,top
U8,15.174996,23.19,0.0,bottom
U9,15.819996,14.485,270.0,bottom
Y1,12.153595,6.269374,0.0,top
